柔軟	róuruăn	supple	我們說：「需要一個強壯的背脊，但柔軟的顏面。」
逍遙	xiāoyáo	It’s a long way off	你得到的收益很高--逍遙法外
雙重	shuāngchó	double	叫做雙重抑楊格（一重音節後兩輕音節）。就在我說「雙重抑揚格」的同時，
權益	quányì	Rights	同時還可繼續享有部分的外交人員的權益，但不用作任何工作。
抉擇	juézé	Choice	星期五晚上討論危險性行為與快樂的抉擇。」
風行	fēngxíng	Popular	還有電話線，所以像網路這種新概念才會如此風行。
坐牢	zuòláo	imprisonment	也不算坐牢、受傷率，光是如此，樣本裡的死亡率
呈	chéng	submit	結果發現，甲烷在土衛六上呈現出的狀態，就好跟水在地球上的狀態一樣，
淡水	dànshuǐ	fresh water	因此我們將使用這種可再生能源，製造我們極需的淡水。
失手	shīshǒu	Miss	這並不表示我能一直維持不敗紀錄，但我過去還沒失手過
顧全	gùquán	Gu Quan	我不得不顧全大局變賣家產以保住航空公司。
鈾	yóu	uranium	所以，像鈾這種很大的原子傾向於分裂。
舉例	jŭlì	Example	舉例來說，如果我現在從低音彈到高音，就像我們剛剛隨性彈的那樣
青翠	qīngcuì	Green	景色更青翠的地方
衝擊	chōngjí	impact	關於女性在商業社群中帶來的衝擊效應，就又是另一篇演講了，
石膏	shígāo	plaster	幾個星期之後，我們辦了很大的簽名儀式，在第一塊石膏板上簽名
寶	băo	treasure	萬保龍先生在幾年前已退休了（譯註：萬寶龍曾在廣告中以牛仔強調自家商品的男子氣概）
紊亂	wènluàn	disorder	所以當人們說: 「世界現在是個紊亂而動盪的地方。」你真有聽到他們這樣說嗎？
營造	yíngzào	Create	好重新學習如何營造有意義的生活環境 - 密不可分的生活機能
安撫	ānfŭ	appease	但在這個例子中，我們加入了安撫狀態，也就是圖中的紅點
搭配	dāpèi	collocation	然後再搭配逗趣的文字(註：圖和文字都是由網友自行上傳設計)。
誇	kuā	handsome	悄悄的，並沒有太多的誇耀，這個模式已經形成無數次遠超越西洋棋的成功。
衝動	chōngdòn	impulse	關於青少年的 — —高漲的冒險企圖，孱弱的衝動控制
塔	tă	tower	這是史蒂夫、瑪麗和他們的同事一起繪製的一幅立體的紅杉樹冠層地圖，這棵樹叫“伊露維塔”（魔戒中的眾生之父），
深沉	shēnchén	deep	而在我的奔放的個性中暗藏著更加深沉的苦痛。
負	fù	negative	把創業家朔造成英雄人物的是 “阿特拉斯擺脫重負” (又譯 “阿特拉斯聳聳肩”)．
奇蹟	qíjī	marvel	也就是，“使我們滅亡的，是對一個奇蹟的渴望，而不是對眾多奇蹟的渴望，”
贈	zèng	give	所以，假設一個因肺結核生命垂危的西班牙裔的女子得到一個捐贈的氣管
調節	tiáojié	regulate	而且，除此之外，我還可以調節它的位置，像這樣，然後旋轉，
造化	zàohuà	good luck	"我到終於到山頂了，你可以看到所有的造化的萬物啊!"
渠道	qúdào	channel	只是說的話，那麽，同情心最自然地在非零和的渠道中流淌，
口頭	kǒutóu	Oral	「階段三」的口頭禪是 "我很優秀 你們不行."
塵土	chéntŭ	dust	所以與核爆分離－最好跟塵土或混凝土，
急救	jíjiù	first aid	我們深入災區拍攝圖片. 我們幫助緊急救生, 搜索和營救等團隊.
吃苦	chīkŭ	Hardship	追求任何值得的事物都需要吃苦
近	jìn	near	在 [嗶] 附近凌亂的捲毛、還有在 [嗶] 和 [嗶]下面難以清除的部位等。
艱難	jiānnán	tough	同時我也學到了，一首好聽的歌，可以讓艱難的工作變得容易許多。
欺侮	qīwŭ	bully	而夏令營裡一個愛欺侮人的孩子抓住了我的腳踝。
宣稱	xuānchēng	allege	宣稱會把搶來的東西分給每一個人，但是他們卻更為腐化，
刻意	kèyì	sedulous	"如何製作任何東西"的課。但這主要的目的並不是要刻意的表現,
遲鈍	chídùn	dullness	「憂鬱症也可能治好，但是他的情感會變遲鈍。」
指正	zhǐzhèng	Pointing right	只要代理人能夠指正錯誤,這樣做是可行的。
說謊	shuōhuăng	lie	除非先前就有人告訴他們這個小伎倆，否則他們不會知道你在說謊。
處分	chŭfèn	Punishment	四處分享這痛苦歷程的動力，就是我的夢想
預告	yùgào	Notice	這是我們的預告片,因為我知道你們一定都很忙
徒弟	túdì	apprentice	則說“它就像一個懶徒弟，
加快	jiākuài	quicken	我們會加快速度的去做，不是嗎？如同我們過去播電話號碼;現在我們用快速撥號。
機密	jīmì	secret	“我不知道有多少次，非常機密的、重要的、敏感的對話
合併	hébìng	merge	將這點和第二項假設做合併，也就是越多的選擇是比較好的，
詢問	xúnwèn	inquire	他們詢問繁殖、代謝、演化，是否是所有生命共有的特徵。
不服	bùfú	defy	我們可以從約定和不服從的方面來看，
堆積	duījī	piled up	這次的海嘯讓我們看到真正的由下而上堆積出來的成果：
股市	gŭshì	stock market	變動的股市常發生沒獲利情況，而這也是立即性的。
復甦	fùsū	recovery	市區復甦的機會。城市發展的代價不應該只由大眾負擔，
花紋	huāwén	Pattern	所以，花紋和型態雖然不是同一件事，
方位	fāngwèi	azimuth	但它卻意味著全方位地介入每一個人的私人事務。
恰好	qiàhăo	just right	而且牠們恰好是攜帶海洋攝影儀器很好的交通工具。
此刻	cǐkè	now	那時候的生物與我們的差別，將會像此刻的我們與細菌的差別一樣懸殊。
免稅	miănshuì	tax-free	它甚至是可免稅的。
模具	mójù	mold	如果你願意，你可以在模具裡直接加顏色，就省的給車噴漆了
包袱	bāofú	burden	不做作、無等級之分、沒有尊嚴問題、沒有包袱，
刊物	kānwù	publication	上面說“我們永遠不能想像做一份關於電子或電腦藝術的特別刊物。”
修建	xiūjiàn	build	在修建核心部分的同時, 我們在同一層面上修建現代展覽館.
氣體	qìtǐ	gas	還有另外一個重點是，減緩排放並無法直接降低既有的溫室氣體濃度。
持平	chípíng	Flat	戴著這雙腿的時候，要保持平衡可是門藝術呢。
上演	shàngyăn	perform	這段旅程就像是儒勒·凡爾納（《八十天環遊世界》作者）的小說在現實中上演。
總額	zǒngé	Total	這樣的金額遠比他們所獲得的援助總額來得多
造反	zàofăn	rebel	以及他們從創造反饋迴路汲取榜樣的地方
囑咐	zhŭfù	Charged	正常來講，是由醫生囑咐護士
胃	wèi	stomach	讓這些細胞表現成骨骼, 胃, 皮膚, 脾臟.
警衛	jǐngwèi	guard	那通電話提供我一個機會去挖掘新罕布什爾國民警衛軍的故事.
不公	bùgōng	unjust	-今天世界比史上任何時候都更加的差異化與不公平，
金錢	jīnqián	money	他去世後鄧小平給中國帶來了金錢，同時把中國帶回到世界的主流當中
一旦	yídàn	once	這東西有點像反物質，任何時候它們一旦與其他物質相撞便會與其同歸於盡，
破除	pòchú	Break	它破除了表演者和觀眾之間的障礙，
火箭	huǒjiàn	rocket	不論是飛機、火車、汽車、腳踏車、馬匹都是可以重複使用的，但偏偏就不是火箭。
款式	kuănshì	style	為他效力的人都身著同樣款式，同色的制服。
授課	shòukè	Teaching	在這段時間，我開始授課了，但依舊沒開口說話
觀望	guānwàng	Watching	當人類首次可以觀望地球的那天開始浮現的 。
挽救	wănjiù	save	但事實上，最好的挽救辦法應該是良好的城市規劃以及優質的建築
敷衍	fūyăn	perfunctory	他就會敷衍回答「有啦，晚一點」
微小	wéixiăo	Small	芽看起來似乎很微小，但為了得到陽光的滋潤它們可以穿過堅硬的磚牆，
寵愛	chǒngài	cosset	要運動，打坐，寵愛狗，
盛情	shèngqíng	Kind	應大家盛情之邀，我兩天前才剛從喜馬拉雅山上到這裡
蒙	méng	cover	及可體松，然後我們或殺了掠食者，或被牠殺或吃掉他，或他吃掉我們。然後突然間我們的荷爾蒙平復我們回到正常。對吧。
蒼蠅	cāngyíng	fly	因為這個擬態者並不提供任何花蜜，蒼蠅卻覺得它應該可得到一些
輝煌	huīhuáng	splendor	今天我們能擁有這如此輝煌成果完全得益於此。這台電腦還使用了電子管。
分享	fēnxiăng	share	以前你必須先問：「我可以這樣做嗎？」。在新的體系中，每個人都有創造、創新和分享的權利
月台	yuètái	platform	通勤的人在擁擠的火車月台上穿梭
侵犯	qīnfàn	infringe	因此，毗濕奴神現身了。(註：毗濕奴為印度教三相神之一，主掌「維護」，在印度神話中為保護之神。其中一個毗濕奴的化身曾三七二十一次殺光人間侵犯婆羅門利益的剎帝利人。)
閃爍	shănshuò	flashing	這東西總是閃爍着，我放它出來，你也許能看到它。
證券	zhèngquàn	security	我們存在塞內加爾達卡市內一個安全且值得信賴的證券公司，
民眾	mínzhòng	populace	許多災區的民眾是藉由虛擬地球的影像首次看到他們房屋當時的情況.
嚴厲	yánlì	stern	他們會說 " 人民的力量只有在政權沒那麼嚴厲時才會發揮功效 "
主管	zhŭguăn	supervisor	這個字的意思是尼加拉瓜主管蟲類,星宿,和行星的女神
生硬	shēngyìng	Blunt	就像那個鋸齒形狀的視覺曲折，生硬而突然。
奇觀	qíguān	spectacle	深不可測的奇觀，源自簡單的規則
沮喪	jŭsàng	depressed	我們用來描述高興、沮喪、害怕和絕望的詞有些類似，甚至是一樣。
日程	rìchéng	schedule	與日程表中編排的有點兒不一樣的事。
緊密	jǐnmì	tightness	世上眾生彼此都緊密相連，這個世界和其他眾多的世界也都連結在一起。
戰機	zhànjī	Fighter	除了自主作戰機器人 --在這些領域中，
中旬	zhōngxún	Mid-year	我不建議誰一月中旬，裸體地，坐在屋頂滴水器上
審議	shěnyì	deliberation	眾議院當時正在重新審議婦女暴力法案
探險	tànxiăn	explore	我的意思是，以前的熱氣球啊、船啊之類的探險，人們都做過了，
仇	chóu	enmity	如果結果導致的是對他人-無論是甚麼人-的仇恨、排斥和蔑視，
交錯	jiāocuò	interlace	作為一個投資銀行家， 我總處於各種交錯的信息中
通稱	tōngchēng	Known	順帶一提 「傢伙們」 在物理學當中是男人和女人通稱。
縱容	zòngchá	pamper	我不想縱容父親的壞毛病。
激增	jīzēng	proliferate	除了數量激增，還快速發展出具有可怕力量的科技文明
疑慮	yílǜ	qualm	且道德上還有許多疑慮，但似乎仍比減碳要好。
開放	kāifàng	opening	於是，這些顯示在螢幕上的就是，由六萬多名熱情的志工所作的「開放索引工程」
關係	guānxì	relationship	什麼是讓你感到快樂的，你的儀式, 你的傳統，我們和其他家庭產生關係的方式。
表明	biăomíng	indicate	在藥物成份表中，很清楚地表明某種藥是用來治療什麽病的，它的好處在哪裡，
液體	yìtǐ	liquid	它所呈現出的樹枝狀水流圖案，肯定是因液體的流動而形成的。
遊覽	yóulăn	tourism	那對夫婦真是太好了。" 於是你跟他們一起遊覽法國，
輕易	qīngyì	hastily	「這太嚇人了吧，要是他們幾年之後輕易在人身上實驗的話......我們完了！」
倘若	tăngruò	if	我希望 -- 倘若你想知道更多，你就可以了解更多。
陰謀	yīnmóu	conspiracy	他們說「噢真慘，這網站根本就是猶太人的陰謀
震驚	zhènjīng	astound	讓我們討論一下。偉大的創造力具有令人震驚、不可思議、理性、或非理性的力量。
太平	tàipíng	Taiping	在恢復土壤肥力的過程中，所有太平洋的島嶼都能從來自亞洲的大陸塵埃獲利，
勁	jìn	strong	這實際上是我們在以前的空氣潛水歲月裡發現的，空氣潛水差勁的歲月
禁令	jìnlìng	ban	我們活在一個奇怪的時代，一個禁令的時代
分明	fēnmíng	clear	現在的組織多是層層相叠而不再階級分明。這有一點奇怪。
誘惑	yóuhuò	tempt	那是個誘惑人的東西，而在我骨子裡相信那是可能的。
事變	shìbiàn	Incident	通過那次任務的結果，一件事變得很清楚，
不及	bùjí	No, I don’t	我還來不及回頭看，站在鐵軌上的人全都尖叫起來，而且開始往回跑，
抑制	yìzhì	restrain	具抑制作用的細胞,專門控制它的鄰居,使大家安靜下來守紀律.
捐贈	juānzèng	donation	所以，假設一個因肺結核生命垂危的西班牙裔的女子得到一個捐贈的氣管
落得	luòde	fell	「你本非無家，你為何落得如此下場？」
被子	bèizi	quilt	他的一個手下被子彈射中頭部，
嘀咕	dígū	whisper	嘀嘀咕咕的聲音傳輸出來
士兵	shìbīng	soldier	如果一個士兵目睹同袍被炸，他的腦部會進入高警戒狀態，這會使他無法將這個經驗轉成語言說出來
夢想	mèngxiăn	dream	所以必然潛藏一個絕對顛覆性的科技，我猜，它在某些層面上也為你讓人們能夠有規模的上火星的夢想鋪路。
